Enes Kanter,Oklahoma City Thunder,16407500
Josh Huestis,Oklahoma City Thunder,1140240
Kevin Durant,Oklahoma City Thunder,20158622
Kyle Singler,Oklahoma City Thunder,4500000
Mitch McGary,Oklahoma City Thunder,1463040
Nazr Mohammed,Oklahoma City Thunder,222888
Nick Collison,Oklahoma City Thunder,3750000
Randy Foye,Oklahoma City Thunder,3135000
Reggie Williams,Oklahoma City Thunder,1185784
Russell Westbrook,Oklahoma City Thunder,16744218
Serge Ibaka,Oklahoma City Thunder,12250000
Steve Novak,Oklahoma City Thunder,295327
Steven Adams,Oklahoma City Thunder,2279040
Aaron Gordon,Orlando Magic,4171680
Andrew Nicholson,Orlando Magic,2380593
Brandon Jennings,Orlando Magic,8344497
C.J. Watson,Orlando Magic,5000000
Channing Frye,Orlando Magic,8193029
Elfrid Payton,Orlando Magic,2505720
Ersan Ilyasova,Orlando Magic,7900000
Evan Fournier,Orlando Magic,2288205
Jason Smith,Orlando Magic,4300000
Keith Appling,Orlando Magic,61776
Mario Hezonja,Orlando Magic,3741480
Nikola Vucevic,Orlando Magic,11250000
Shabazz Napier,Orlando Magic,1294440
Tobias Harris,Orlando Magic,16000000
Victor Oladipo,Orlando Magic,5192520
Carl Landry,Philadelphia 76ers,6500000
Christian Wood,Philadelphia 76ers,525093
Furkan Aldemir,Philadelphia 76ers,2836768
Gerald Wallace,Philadelphia 76ers,10105855
Isaiah Canaan,Philadelphia 76ers,947276
Jahlil Okafor,Philadelphia 76ers,4582680
JaKarr Sampson,Philadelphia 76ers,258489
Jerami Grant,Philadelphia 76ers,845059
Joel Embiid,Philadelphia 76ers,4626960
Kendall Marshall,Philadelphia 76ers,2144772
Nerlens Noel,Philadelphia 76ers,3457800
Nik Stauskas,Philadelphia 76ers,2869440
Richaun Holmes,Philadelphia 76ers,1074169
Robert Covington,Philadelphia 76ers,1000000
Tony Wroten,Philadelphia 76ers,167406
Alan Williams,Phoenix Suns,83397
Alex Len,Phoenix Suns,3807120
Archie Goodwin,Phoenix Suns,1160160
Brandon Knight,Phoenix Suns,13500000
Chase Budinger,Phoenix Suns,206192
Cory Jefferson,Phoenix Suns,49709
Deonte Burton,Phoenix Suns,525093
Devin Booker,Phoenix Suns,2127840
Eric Bledsoe,Phoenix Suns,13500000
Jerel McNeal,Phoenix Suns,981348
John Jenkins,Phoenix Suns,981348
Jon Leuer,Phoenix Suns,1035000
Jordan McRae,Phoenix Suns,111196
Kyle Casey,Phoenix Suns,525093
Lorenzo Brown,Phoenix Suns,111444
Mirza Teletovic,Phoenix Suns,5500000
Orlando Johnson,Phoenix Suns,55722
P.J. Tucker,Phoenix Suns,5500000
Phil Pressey,Phoenix Suns,55722
Sonny Weems,Phoenix Suns,2814000
Terrico White,Phoenix Suns,845059
TJ Warren,Phoenix Suns,2041080
Tyson Chandler,Phoenix Suns,13000000
Al-Farouq Aminu,Portland Trail Blazers,8042895
Brendan Haywood,Portland Trail Blazers,10522500
C.J. McCollum,Portland Trail Blazers,2525160
Chris Kaman,Portland Trail Blazers,5016000
Damian Lillard,Portland Trail Blazers,4236287
Ed Davis,Portland Trail Blazers,6980802
Gerald Henderson,Portland Trail Blazers,6000000
Grant Jerrett,Portland Trail Blazers,947276
Luis Montero,Portland Trail Blazers,525093
Mason Plumlee,Portland Trail Blazers,1415520
Maurice Harkless,Portland Trail Blazers,2894059
Meyers Leonard,Portland Trail Blazers,3075880
Noah Vonleh,Portland Trail Blazers,2637720
Pat Connaughton,Portland Trail Blazers,625093
Ben McLemore,Sacramento Kings,3156600
Caron Butler,Sacramento Kings,1449187
Darren Collison,Sacramento Kings,5013559
DeMarcus Cousins,Sacramento Kings,15851950
James Anderson,Sacramento Kings,1015421
Kosta Koufos,Sacramento Kings,7700000
Marco Belinelli,Sacramento Kings,6060606
Omri Casspi,Sacramento Kings,2836186
Rajon Rondo,Sacramento Kings,9500000
Rudy Gay,Sacramento Kings,12403101
Willie Cauley-Stein,Sacramento Kings,3398280
Andre Miller,San Antonio Spurs,250750
Boban Marjanovic,San Antonio Spurs,1200000
Boris Diaw,San Antonio Spurs,7500000
Danny Green,San Antonio Spurs,10000000
David West,San Antonio Spurs,1499187
Kawhi Leonard,San Antonio Spurs,16407500
Kevin Martin,San Antonio Spurs,200600
Kyle Anderson,San Antonio Spurs,1142880
LaMarcus Aldridge,San Antonio Spurs,19689000
Manu Ginobili,San Antonio Spurs,2814000
Patty Mills,San Antonio Spurs,3578947
Tim Duncan,San Antonio Spurs,5250000
Tony Parker,San Antonio Spurs,13437500
Bruno Caboclo,Toronto Raptors,1524000
Delon Wright,Toronto Raptors,1509360
DeMar DeRozan,Toronto Raptors,10050000
DeMarre Carroll,Toronto Raptors,13600000
James Johnson,Toronto Raptors,2500000
Jason Thompson,Toronto Raptors,245177
Jonas Valanciunas,Toronto Raptors,4660482
Lucas Nogueira,Toronto Raptors,1842000
Luis Scola,Toronto Raptors,2900000
Luke Ridnour,Toronto Raptors,2750000
Norman Powell,Toronto Raptors,650000
Patrick Patterson,Toronto Raptors,6268675
Ronald Roberts Jr.,Toronto Raptors,525093
Shannon Scott,Toronto Raptors,525093
Terrence Ross,Toronto Raptors,3553917
Alec Burks,Utah Jazz,9463484
Chris Johnson,Utah Jazz,981348
Dante Exum,Utah Jazz,3777720
Elijah Millsap,Utah Jazz,845059
Erick Green,Utah Jazz,99418
Gordon Hayward,Utah Jazz,15409570
Jeff Withey,Utah Jazz,947276
Joe Ingles,Utah Jazz,2050000
Raul Neto,Utah Jazz,900000
Rodney Hood,Utah Jazz,1348440
Rudy Gobert,Utah Jazz,1175880
Shelvin Mack,Utah Jazz,2433333
Tibor Pleiss,Utah Jazz,2900000
Trevor Booker,Utah Jazz,4775000
Trey Burke,Utah Jazz,2658240
Trey Lyles,Utah Jazz,2239800
Bradley Beal,Washington Wizards,5694674
DeJuan Blair,Washington Wizards,2000000
Drew Gooden,Washington Wizards,3300000
Garrett Temple,Washington Wizards,1100602
Gary Neal,Washington Wizards,2139000
Jared Dudley,Washington Wizards,4375000
Jarell Eddie,Washington Wizards,561716
JJ Hickson,Washington Wizards,273038
John Wall,Washington Wizards,15851950
Kelly Oubre Jr.,Washington Wizards,1920240
Kris Humphries,Washington Wizards,1000000
Marcin Gortat,Washington Wizards,11217391
Marcus Thornton,Washington Wizards,200600
Markieff Morris,Washington Wizards,8000000
Martell Webster,Washington Wizards,5613500
Nene Hilario,Washington Wizards,13000000
Otto Porter Jr.,Washington Wizards,4662960
Ramon Sessions,Washington Wizards,2170465
